lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG007_20,guichenoti,16/11/20,0.23,20,22.174,17.483,NA,18/11/20,5,15,NA,20/11/20,1,19,NA,22/11/20,1,19,0.262,22.119,21.088,CL41,1/12/19,1/1/20,f,C,28,0.137,18.2,27.632,0.17,8.54,5.96,0.17,0,31
LG009_20,guichenoti,30/11/20,0.233,30,22.034,29.279,NA,2/12/20,16,14,NA,4/12/20,18,12,NA,6/12/20,5,25,0.296,23.443,33.435,CL003_20,6/10/20,22/11/20,NA,A,23,0.153,20.077,27.614,0.259,9.82,6.96,0.236,0.023,47
LG019_20,guichenoti,16/12/20,NA,30,NA,NA,NA,18/12/20,NA,NA,NA,20/12/20,NA,NA,NA,22/12/20,0,30,NA,NA,NA,CL006_20,14/10/20,2/12/20,NA,A,23,0.164,21.951,27.436,0.266,9.89,6.99,0.249,0.017,49
LG020_20,guichenoti,16/12/20,0.226,30,22.821,34.417,0.146,18/12/20,3,27,0.189,20/12/20,9,21,0.151,22/12/20,14,16,0.347,24.583,35.752,CL33,26/11/19,16/1/20,f,C,23,0.148,18.683,25.042,0.162,8.55,5.6,0.162,0,51
LG028_20,guichenoti,21/12/20,0.213,30,22.441,29.768,0.293,23/12/20,18,12,0.137,25/12/20,13,17,0.143,27/12/20,11,19,0.286,21.719,30.083,CL009_20,18/10/20,7/12/20,NA,A,23,0.149,NA,NA,0.225,9.75,6.51,0.207,0.018,50
LG029_20,guichenoti,21/12/20,0.23,30,21.618,28.786,0.203,23/12/20,10,20,0.234,25/12/20,23,7,0.218,27/12/20,18,12,0.252,23.256,29.539,CL53,8/12/19,22/1/20,f,A,23,0.058,15.942,19.662,0.132,7.91,5.56,0.112,0.02,45
LG030_20,guichenoti,16/12/20,0.26,30,20.995,29.129,0.139,18/12/20,5,25,0.18,20/12/20,13,17,0.241,22/12/20,18,12,0.323,23.491,30.844,CL010_20,18/10/20,3/12/20,NA,A,23,0.17,21.017,25.047,0.26,9.95,6.99,0.243,0.017,46
LG031_20,guichenoti,16/12/20,0.251,30,21.644,29.927,0.14,18/12/20,8,22,0.21,20/12/20,13,17,0.219,22/12/20,7,23,0.359,23.994,32.317,CL010_20,18/10/20,4/12/20,NA,C,23,0.181,20.87,24.833,0.262,10.06,6.87,0.262,0,47
LG032_20,guichenoti,21/12/20,0.206,30,21.848,28.116,0.192,23/12/20,11,19,0.224,25/12/20,16,14,0.266,27/12/20,14,16,0.308,22.493,33.374,CL019,22/11/19,13/1/20,f,A,23,0.133,NA,NA,0.163,9.46,5.66,0.144,0.019,52
LG033_20,guichenoti,30/11/20,0.244,30,20.413,28.155,NA,2/12/20,17,13,NA,4/12/20,14,16,NA,6/12/20,4,26,0.283,21.779,26.074,CL011_20,20/10/20,22/11/20,NA,A,28,0.148,20.189,25.198,0.192,9.12,6.05,0.182,0.01,33
