Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
CC,1,1,48454,up,back,4,1,E,6,U,12.95,7.58,0.31,4.7,6.6,6.79,2.77,2.69,1.15,0.07,0.11,40.80,39.65,16.95,1.05,1.55,7.05,0.67,4.52,1.64,17.90,0.02,41.60,0.06,35.2,8.04
CC,1,2,4796,up,back,4,1,E,6,U,18.51,16.55,0.28,3.9,4.0,13.31,6.02,4.75,1.87,0.16,0.52,45.30,35.65,14.05,1.15,3.85,5.73,1.31,6.52,2.86,11.20,0.25,48.90,0.33,34.2,12.5
CC,1,3,85085,low,back,6,1,M,6,C,26.11,17.49,0.18,4.4,5.3,11.68,4.17,3.80,2.20,0.46,1.06,35.60,32.55,18.80,3.95,9.10,10.7,1.41,13.3,1.3,0.10,4.17,23.50,0.12,44.7,12.8
CC,1,4,884,low,back,6,1,M,6,C,9.84,12.37,0.55,4.9,3.8,5.29,1.60,2.33,1.04,0.14,0.18,30.20,43.95,19.75,2.60,3.50,5.15,2.08,3.16,1.43,0.09,11.80,55.90,0.23,24.1,6.85
CC,1,5,59787,up,back,7,1,E,6,C,19.05,3.55,0.17,5.3,4.5,6.87,2.22,3.58,0.90,0.08,0.10,32.30,52.10,13.05,1.15,1.40,8.08,0.78,14.4,2.17,8.47,0.19,36.90,0.07,19.1,16.3
CC,1,6,73475,up,back,7,1,E,6,C,4.60,4.46,0.15,5.7,5.7,8.96,4.94,1.79,1.10,0.73,0.40,55.15,19.95,12.25,8.15,4.50,12.1,1.24,13.8,0.94,22.50,0.12,18.90,0.19,61.1,4.3
CC,1,7,73981,low,back,2,1,M,6,U,8.35,22.69,0.20,5.4,2.0,9.78,3.00,4.65,1.59,0.41,0.14,30.70,47.55,16.20,4.15,1.40,15.5,0,8.3,0.82,14.90,0.00,3.17,0.00,3.93,29.1
CC,1,8,45400,low,back,2,1,M,6,U,6.31,5.84,0.18,5.2,6.9,16.94,8.65,5.55,2.07,0.51,0.17,51.00,32.75,12.20,3.05,1.00,5.19,0.34,5.22,1.39,8.19,0.06,63.50,0.12,43.7,3.4
CC,1,9,29559,up,back,10,2,E,6,C,7.81,5.62,0.27,3.5,5.0,10.44,3.81,4.87,1.48,0.06,0.23,36.50,46.60,14.15,0.55,2.20,14.4,0.86,8.28,1.66,24.90,0.49,0.11,0.00,28.3,11.5
CC,1,10,57771,up,back,10,2,E,6,C,10.70,20.87,0.19,3.9,4.8,12.12,6.93,3.77,1.09,0.15,0.19,57.25,31.05,9.00,1.20,1.50,11.5,0.68,12.3,2.83,11.50,0.12,37.00,0.09,25.1,6.92
CC,1,11,37002,low,back,13,2,M,6,U,7.06,11.51,0.23,6.3,2.8,5.77,1.40,2.81,1.17,0.33,0.07,24.25,48.70,20.20,5.70,1.15,11.8,1.41,22.4,1.04,13.20,0.08,14.30,0.00,49.3,12
CC,1,12,37558,low,back,13,2,M,6,U,7.81,0.47,0.19,5.4,4.5,10.66,5.62,3.18,1.42,0.27,0.18,52.65,29.80,13.30,2.55,1.70,13.1,0.54,10,2.1,11.80,0.08,14.30,0.00,32.1,15.2
CC,1,13,16314,low,back,14,2,M,6,C,3.64,8.54,0.27,4.7,3.9,9.47,3.63,4.38,1.17,0.21,0.10,38.30,46.20,12.30,2.20,1.00,7.64,1.04,7.39,0.48,11.90,0.08,4.02,0.00,42.5,8.04
CC,1,14,80713,low,back,14,2,M,6,C,17.98,10.99,0.36,6.6,3.9,8.96,3.52,3.60,1.53,0.13,0.19,39.25,40.20,17.10,1.40,2.05,4.38,2.19,2.79,1.66,0.01,0.00,60.60,0.10,29.2,13.1
CC,1,15,37561,up,back,15,2,E,6,U,7.60,5.08,0.25,6.5,6.9,4.37,2.83,1.06,0.20,0.26,0.04,64.70,24.15,4.50,5.85,0.80,20.7,0.14,6.42,0,33.50,0.08,2.86,0.00,19.4,21.5
CC,1,16,61215,up,back,15,2,E,6,U,20.33,12.46,0.41,5.4,6.4,5.90,1.70,2.87,1.05,0.15,0.14,28.85,48.60,17.80,2.45,2.30,7.07,0.76,9.32,1.91,18.00,0.03,42.90,0.15,30.6,7.36
CC,1,17,75185,up,back,18,3,E,6,C,10.06,2.43,0.23,3.6,5.6,7.77,3.02,3.32,0.99,0.12,0.34,38.80,42.65,12.70,1.55,4.30,12.6,0.45,7.34,1.4,13.30,0.04,43.00,0.17,40.1,7.91
